Date,dataset,Open,High,Low,Close,return,garch_omega,garch_alpha,garch_beta,garch_vol,std5,std14,std25,vol_regime,ema_5,ema_20,feat,ema_gamma,ema_beta,direction_signal,predicted_next,close_delta,target,next_actual,error_inr,error_pct
1900-01-01,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***
2003-12-23,train,45.446999,45.549,45.326,45.389,-0.001386077620346593,2.8065599500677346e-07,0.06888888888888889,0.92,0.003163068727152554,0.026975765071614064,0.0441130135921411,,medium,45.42052621151954,45.49526960690048,-0.07474339538094199,0.2696598224735318,0.36411471787154603,-1,45.31721573677164,0.05300099999999475,1,45.442001,-0.12478526322836103,-0.27460336358947096
2003-12-24,train,45.390999,45.533001,45.360001,45.442001,0.0011677058318093625,2.8065599500677346e-07,0.06888888888888889,0.92,0.0031012271069172687,0.024068755711475175,0.03132849843858796,,medium,45.427684474346364,45.49019640624329,-0.06251193189692827,0.2696598224735318,0.36411471787154603,-1,45.37153801735312,0.0029990000000026384,1,45.445,-0.07346198264688297,-0.161650308387904
2003-12-25,train,45.438,45.456001,45.296001,45.445,6.599621350300566e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.0030369045656482435,0.02548532911889938,0.03118008083228479,,medium,45.43345631623092,45.485891986601075,-0.052435670370158505,0.2696598224735318,0.36411471787154603,-1,45.375993936007056,-0.003998000000002833,-1,45.441002,-0.06500806399294135,-0.1430603664790256
2003-12-26,train,45.423,45.457001,45.396,45.441002,-8.797447463970709e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.0029607300171009543,0.025410850060527405,0.029355941818734133,,medium,45.435971544153944,45.48161674978192,-0.04564520562797725,0.2696598224735318,0.36411471787154603,-1,45.373732730685724,0.10799800000000204,1,45.549,-0.1752672693142756,-0.3847884021916521
2003-12-29,train,45.439999,45.580002,45.438,45.549,0.0023766641413409673,2.8065599500677346e-07,0.06888888888888889,0.92,0.00288891633948718,0.058396765328216915,0.04335531579837856,,medium,45.47364769610263,45.48803420218364,-0.014386506081009998,0.2696598224735318,0.36411471787154603,-1,45.48320637482635,-0.04999899999999968,-1,45.499001,-0.015794625173647603,-0.03471422410713502
2003-12-30,train,45.549,45.564999,45.424999,45.499001,-0.0010976969856637542,2.8065599500677346e-07,0.06888888888888889,0.92,0.0028892815241740376,0.047949568305660564,0.04156628204809145,,medium,45.48209879740176,45.48907865911853,-0.006979861716772007,0.2696598224735318,0.36411471787154603,-1,45.43327128852116,0.03099799999999675,1,45.529999,-0.09672771147883452,-0.21244830573977067
2003-12-31,train,45.487999,45.557999,45.421001,45.529999,0.0006812896837009585,2.8065599500677346e-07,0.06888888888888889,0.92,0.002836154930391141,0.04885829204238699,0.04709296570327798,,medium,45.49806553160118,45.49297583444058,0.005089697160599371,0.2696598224735318,0.36411471787154603,-1,45.46543393442772,-0.002998999999995533,-1,45.527,-0.06156606557227917,-0.13522978797697885
2004-01-01,train,45.528999,45.532001,45.519001,45.527,-6.586865947433296e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.0027772115452178226,0.04209651174740259,0.05003328014387581,,medium,45.507710354400785,45.496216231160524,0.011494123240261445,0.2696598224735318,0.36411471787154603,-1,45.46378094499043,0.07600099999999799,1,45.603001,-0.13922005500956658,-0.30528704680985047
2004-01-02,train,45.527,45.645,45.497002,45.603001,0.0016693610385045687,2.8065599500677346e-07,0.06888888888888889,0.92,0.002716031393671992,0.038688696032552615,0.0629239273918698,0.08087908898180285,low,45.539473902933864,45.506386209145234,0.03308769378863019,0.2696598224735318,0.36411471787154603,-1,45.603001,-0.13700099999999793,-1,45.466,0.13700099999999793,0.3013262657810186
2004-01-05,train,45.528,45.564999,45.459,45.466,-0.0030042101834482082,2.8065599500677346e-07,0.06888888888888889,0.92,0.002694311347322862,0.05067073613733262,0.06293160888261687,0.06566040806914264,low,45.514982601955914,45.50253990351236,0.012442698443557276,0.2696598224735318,0.36411471787154603,-1,45.466,0.08299999999999841,1,45.549,-0.08299999999999841,-0.1822213440470667
